"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"201","Runnels County, Texas",9306,1999,1933,6,59,1,1445,0,59,1,0.748,0,1,1
"202","Rusk County, Texas",49838,6968,6533,201,203,31,4210,150,203,21,0.644,0.746,1,0.677
"203","Sabine County, Texas",9521,356,234,71,16,35,229,71,8,24,0.979,1,0.5,0.686
"204","San Augustine County, Texas",7633,536,527,0,9,0,289,0,9,0,0.548,0,1,0
"205","San Jacinto County, Texas",26322,4030,3813,2,110,105,2390,2,102,105,0.627,1,0.927,1
"206","San Patricio County, Texas",64306,20372,19402,484,445,41,16246,275,191,21,0.837,0.568,0.429,0.512
"207","San Saba County, Texas",5535,1211,1160,7,25,19,797,0,25,0,0.687,0,1,0
"208","Schleicher County, Texas",2265,831,823,8,0,0,688,3,0,0,0.836,0.375,0,0
"209","Scurry County, Texas",15820,3882,3778,86,18,0,2665,48,18,0,0.705,0.558,1,0
"210","Shackelford County, Texas",2991,173,142,6,25,0,126,6,25,0,0.887,1,1,0
"211","Shelby County, Texas",22496,3486,3400,53,33,0,1957,31,33,0,0.576,0.585,1,0
"212","Sherman County, Texas",2273,898,892,5,0,1,600,5,0,0,0.673,1,0,0
"213","Smith County, Texas",219593,39338,34274,2308,1540,1216,19415,1322,1058,1028,0.566,0.573,0.687,0.845
"214","Somervell County, Texas",8974,1600,1391,50,145,14,844,50,77,14,0.607,1,0.531,1
"215","Starr County, Texas",59633,54277,54240,34,2,1,33098,29,2,1,0.61,0.853,1,1
"216","Stephens County, Texas",8722,1522,1445,32,29,16,684,8,14,16,0.473,0.25,0.483,1
"217","Sterling County, Texas",1266,274,274,0,0,0,224,0,0,0,0.818,0,0,0
"218","Stonewall County, Texas",1190,143,129,0,0,14,71,0,0,14,0.55,0,0,1
"219","Sutton County, Texas",3162,1727,1717,10,0,0,1262,10,0,0,0.735,1,0,0
"220","Swisher County, Texas",6577,1970,1964,2,0,4,1408,0,0,4,0.717,0,0,1
"221","Tarrant County, Texas",1975444,578692,412892,69090,56008,40702,260216,36395,39826,28589,0.63,0.527,0.711,0.702
"222","Taylor County, Texas",133107,22463,17847,1949,1745,922,14004,1405,1162,419,0.785,0.721,0.666,0.454
"223","Terrell County, Texas",851,321,321,0,0,0,274,0,0,0,0.854,0,0,0
"224","Terry County, Texas",10963,4323,3799,11,505,8,2842,11,207,8,0.748,1,0.41,1
"225","Throckmorton County, Texas",1322,75,49,6,20,0,35,3,8,0,0.714,0.5,0.4,0
"226","Titus County, Texas",29029,10867,10483,253,131,0,6120,29,106,0,0.584,0.115,0.809,0
"227","Tom Green County, Texas",111675,27134,25129,780,1007,218,18804,360,905,152,0.748,0.462,0.899,0.697
"228","Travis County, Texas",1214982,360154,256653,45416,40297,17788,161219,28854,32101,12663,0.628,0.635,0.797,0.712
"229","Trinity County, Texas",13077,1486,1226,60,200,0,690,60,200,0,0.563,1,1,0
"230","Tyler County, Texas",19188,1303,1036,89,168,10,595,35,117,0,0.574,0.393,0.696,0
"231","Upshur County, Texas",38896,2001,1779,148,74,0,1166,0,72,0,0.655,0,0.973,0
"232","Upton County, Texas",3180,1194,1177,17,0,0,997,5,0,0,0.847,0.294,0,0
"233","Uvalde County, Texas",23084,11346,11052,195,95,4,7975,146,87,0,0.722,0.749,0.916,0
"234","Val Verde County, Texas",43937,28655,28406,122,116,11,19066,90,116,0,0.671,0.738,1,0
"235","Van Zandt County, Texas",56554,4846,4456,81,296,13,3044,34,265,13,0.683,0.42,0.895,1
"236","Victoria County, Texas",85214,20563,19156,890,413,104,14906,436,328,84,0.778,0.49,0.794,0.808
"237","Walker County, Texas",74180,12698,10356,670,402,1270,7041,481,377,917,0.68,0.718,0.938,0.722
"238","Waller County, Texas",53917,12676,11707,378,402,189,7174,291,273,176,0.613,0.77,0.679,0.931
"239","Ward County, Texas",10479,3624,3552,71,1,0,2618,18,1,0,0.737,0.254,1,0
"240","Washington County, Texas",33920,4384,4010,128,240,6,2768,104,234,6,0.69,0.812,0.975,1
"241","Webb County, Texas",244692,216824,214937,1051,618,218,119705,757,489,80,0.557,0.72,0.791,0.367
"242","Wharton County, Texas",38785,10403,10140,58,205,0,6649,29,183,0,0.656,0.5,0.893,0
"243","Wheeler County, Texas",4680,897,849,17,13,18,441,11,13,18,0.519,0.647,1,1
"244","Wichita County, Texas",121630,15724,11845,1825,1273,781,8335,1166,892,710,0.704,0.639,0.701,0.909
"245","Wilbarger County, Texas",11953,2343,2063,256,22,2,1521,227,22,0,0.737,0.887,1,0
"246","Willacy County, Texas",19072,11818,11815,3,0,0,8780,3,0,0,0.743,1,0,0
"247","Williamson County, Texas",579812,138476,80948,28321,22817,6390,55957,19784,17503,5112,0.691,0.699,0.767,0.8
"248","Wilson County, Texas",47567,10334,9702,119,506,7,6931,92,391,7,0.714,0.773,0.773,1
"249","Winkler County, Texas",7065,3308,3265,43,0,0,2305,0,0,0,0.706,0,0,0
"250","Wise County, Texas",65915,10893,10085,367,422,19,5946,278,369,13,0.59,0.757,0.874,0.684
